ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1440211983.18451,pg_catalog,pg_database,pg_database_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_database,pg_database_datname_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,20,15,15,3,41
1440211983.18451,pg_catalog,pg_type,pg_type_typname_nsp_index,57,33,33,4,158
1440211983.18451,pg_catalog,pg_type,pg_type_oid_index,116,97,97,2,150
1440211983.18451,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2618,pg_toast_2618_index,3,8,8,2,4
1440211983.18451,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2619,pg_toast_2619_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1440211983.18451,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_authid,pg_authid_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_authid,pg_authid_rolname_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,474,1294,1294,7,1309
1440211983.18451,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,5,5,5,4,306
1440211983.18451,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,7,21,21,6,13
1440211983.18451,pg_catalog,pg_proc,pg_proc_oid_index,21,21,21,7,42
1440211983.18451,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,2,21
1440211983.18451,pg_catalog,pg_class,pg_class_relname_nsp_index,56,7,7,5,152
1440211983.18451,pg_catalog,pg_class,pg_class_oid_index,379,369,369,2,466
1440211983.18451,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_constraint,pg_constraint_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_index,pg_index_indexrelid_index,194,194,194,2,271
1440211983.18451,pg_catalog,pg_index,pg_index_indrelid_index,71,125,125,2,83
1440211983.18451,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,3,3,3,3,6
1440211983.18451,pg_catalog,pg_operator,pg_operator_oid_index,10,10,10,3,21
1440211983.18451,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_opclass,pg_opclass_oid_index,105,105,105,2,182
1440211983.18451,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,7,293,293,2,8
1440211983.18451,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_amop,pg_amop_opr_fam_index,13,36,36,3,27
1440211983.18451,pg_catalog,pg_amop,pg_amop_fam_strat_index,26,26,26,3,53
1440211983.18451,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,108,203,203,3,292
1440211983.18451,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,4,4,4,2,6
1440211983.18451,pg_catalog,pg_rewrite,pg_rewrite_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,20,0,0,1,19
1440211983.18451,pg_catalog,pg_description,pg_description_o_c_o_index,0,0,0,0,0
1440211983.18451,pg_catalog,pg_cast,pg_cast_source_target_index,88,16,16,2,91
