ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,19510,10,pgxc,10.93.131.148,52466,2015-08-21 22:53:01.93584-04,,2015-08-21 22:53:02.272751-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 22:53:02.512604-04
946684800,19512,10,pgxc,10.93.131.148,52476,2015-08-21 22:53:02.526213-04,,2015-08-21 22:53:03.178666-04,f,SET global_session TO coordinator_5275;,idle,2015-08-21 22:53:03.186097-04
946684800,19513,10,pgxc,10.93.131.148,52555,2015-08-21 22:53:03.10223-04,,2015-08-21 22:53:03.184264-04,f,SET global_session TO coordinator_5339;,idle,2015-08-21 22:53:03.184435-04
946684800,19514,10,psql,10.93.131.148,52574,2015-08-21 22:53:03.168287-04,,2015-08-21 22:53:03.18826-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 22:53:03.188263-04
946684800,19515,10,psql,10.93.131.148,52575,2015-08-21 22:53:03.168484-04,,2015-08-21 22:53:03.183969-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 22:53:03.183972-04
946684800,19517,10,psql,10.93.131.148,52579,2015-08-21 22:53:03.175443-04,,2015-08-21 22:53:03.18516-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 22:53:03.185162-04
946684800,19516,10,psql,10.93.131.148,52576,2015-08-21 22:53:03.169747-04,,2015-08-21 22:53:03.188932-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-21 22:53:03.188935-04
946684800,19510,10,pgxc,10.93.131.148,52466,2015-08-21 22:53:01.93584-04,,2015-08-21 22:53:02.272751-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 22:53:02.512604-04
946684800,19512,10,pgxc,10.93.131.148,52476,2015-08-21 22:53:02.526213-04,2015-08-21 22:53:03.116194-04,2015-08-21 22:53:04.654673-04,f,COPY public.lineitem FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:23.069971-04
946684800,19513,10,pgxc,10.93.131.148,52555,2015-08-21 22:53:03.10223-04,,2015-08-21 22:53:17.209435-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 22:54:02.132933-04
946684800,19520,10,pgxc,10.93.131.148,52625,2015-08-21 22:53:03.261773-04,2015-08-21 22:53:03.103589-04,2015-08-21 22:53:03.108591-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:03.332546-04
946684800,19521,10,pgxc,10.93.131.148,52633,2015-08-21 22:53:03.328239-04,2015-08-21 22:53:03.103572-04,2015-08-21 22:53:03.211588-04,f,COPY public.partsupp FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:03.89292-04
946684800,19522,10,pgxc,10.93.131.148,52641,2015-08-21 22:53:03.798581-04,,2015-08-21 22:53:53.799298-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 22:53:55.016345-04
946684800,19523,10,pgxc,10.93.131.148,52649,2015-08-21 22:53:04.32586-04,2015-08-21 22:53:03.104291-04,2015-08-21 22:53:04.008308-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:07.461653-04
946684800,19518,10,pgxc,10.93.131.148,52591,2015-08-21 22:53:03.184755-04,2015-08-21 22:53:03.104492-04,2015-08-21 22:53:03.109886-04,f,COPY public.lineitem FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:03.26642-04
946684800,19524,10,pgxc,10.93.131.148,52657,2015-08-21 22:53:06.654271-04,2015-08-21 22:53:03.112629-04,2015-08-21 22:53:04.40936-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:12.25408-04
946684800,19525,10,pgxc,10.93.131.148,52665,2015-08-21 22:53:11.089401-04,,2015-08-21 22:53:50.903263-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-21 22:54:03.625216-04
946684800,19526,10,pgxc,10.93.131.148,52673,2015-08-21 22:53:15.947119-04,2015-08-21 22:53:03.104158-04,2015-08-21 22:53:04.379995-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-21 22:53:22.819587-04
