# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl2;60;1440211999;29852348;1135472;3.66;0;786012;8956796;28.90;274296;584932;272564
pgxl2;60;1440212059;28884260;2103560;6.79;0;1715152;8983408;28.99;845776;955468;185152
pgxl2;60;1440212119;27645920;3341900;10.78;0;2680708;9226536;29.77;1581924;1400788;200728
pgxl2;60;1440212179;26476556;4511264;14.56;0;3528508;9554340;30.83;2492520;1652064;667792
pgxl2;60;1440212239;26074808;4913012;15.85;0;4381908;9074272;29.28;2642404;1877724;427636
pgxl2;60;1440212299;25315384;5672436;18.31;0;5107832;9077896;29.30;3516484;1739776;249368
pgxl2;60;1440212359;24097628;6890192;22.24;0;6269572;9078368;29.30;4460648;1957324;126988
pgxl2;60;1440212419;21668980;9318840;30.07;0;7381576;10403316;33.57;7048440;1788696;529640
pgxl2;60;1440212479;20750992;10236828;33.04;0;8097372;10599568;34.21;7928064;1803920;466672
pgxl2;60;1440212539;19988716;10999104;35.49;0;8794672;10628980;34.30;8678344;1795300;293576
pgxl2;60;1440212599;19129524;11858296;38.27;0;9488060;10777004;34.78;9576928;1736252;366296
pgxl2;60;1440212659;18187784;12800036;41.31;0;10157600;11005036;35.51;10537184;1678980;206400
pgxl2;60;1440212719;15930432;15057388;48.59;0;12884724;10527068;33.97;10767920;3684588;584488
pgxl2;60;1440212779;14649356;16338464;52.73;0;13496860;11197208;36.13;12472632;3241208;2388748
pgxl2;60;1440212839;13112848;17874972;57.68;0;14671080;11547232;37.26;13327088;3891868;374236
pgxl2;60;1440212899;8387532;22600288;72.93;0;16593344;15006572;48.43;16629420;5222992;1136712
pgxl2;60;1440212959;9787640;21200180;68.41;0;17981976;11402328;36.80;16265284;4185848;511396
pgxl2;60;1440213019;8229260;22758560;73.44;0;18485948;12452944;40.19;19130400;2865356;407072
pgxl2;60;1440213079;8518840;22468980;72.51;0;19004288;11618644;37.49;18838632;2853240;210684
pgxl2;60;1440213139;9670668;21317152;68.79;0;19509924;9936176;32.06;18005504;2526248;205336
pgxl2;60;1440213199;9999648;20988172;67.73;0;19995968;9108560;29.39;17726976;2468452;165040
pgxl2;60;1440213259;9492444;21495376;69.37;0;20499628;9098128;29.36;18253264;2439876;115476
pgxl2;60;1440213319;9001492;21986328;70.95;0;20985804;9089812;29.33;18757120;2418200;55124
pgxl2;60;1440213379;8493188;22494632;72.59;0;21496028;9071588;29.27;19280396;2395256;11248
pgxl2;60;1440213439;8022956;22964864;74.11;0;21991052;9036560;29.16;19808220;2330092;375308
pgxl2;60;1440213499;7504080;23483740;75.78;0;22510468;9021020;29.11;20406212;2240392;304488
pgxl2;60;1440213559;6165752;24822068;80.10;0;23013408;9846292;31.77;21748368;2221916;292516
pgxl2;60;1440213619;5678700;25309120;81.67;0;23498920;9834724;31.74;22320360;2125420;316288
pgxl2;60;1440213679;5159212;25828608;83.35;0;24002340;9834532;31.74;22818120;2132972;290376
pgxl2;60;1440213739;4702620;26285200;84.82;0;24491604;9788840;31.59;23304640;2093104;258392
pgxl2;60;1440213799;4183140;26804680;86.50;0;24996308;9788708;31.59;23816276;2086088;214264
pgxl2;60;1440213859;3022504;27965316;90.25;0;25325200;10748932;34.69;24979536;2068216;5404712
pgxl2;60;1440213919;4253252;26734568;86.27;0;25733164;8959680;28.91;23340188;2473908;4723000
pgxl2;60;1440213979;236168;30751652;99.24;0;25626892;14468496;46.69;20160900;9659864;646980
pgxl2;60;1440214039;226836;30760984;99.27;0;16562516;24456832;78.92;21290076;8706348;28
pgxl2;60;1440214099;210232;30777588;99.32;0;8802176;35664696;115.09;25391004;4850332;582324
pgxl2;60;1440214159;7801660;23186160;74.82;0;13079196;20793556;67.10;13456368;9095976;2948200
pgxl2;60;1440214219;15978596;15009224;48.44;0;14263136;8975564;28.96;4086340;10274228;2836
pgxl2;60;1440214279;12618392;18369428;59.28;0;17530488;10032776;32.38;7325368;10310496;1317108
pgxl2;60;1440214339;9908336;21079484;68.03;0;20173076;10032776;32.38;9978916;10299636;825520
pgxl2;60;1440214399;7460244;23527576;75.93;0;22578480;10030268;32.37;11759004;10923632;1789936
pgxl2;60;1440214459;4852472;26135348;84.34;0;25189792;10026416;32.36;20698636;4593260;12300
pgxl2;60;1440214519;3448656;27539164;88.87;0;25532188;10043708;32.41;22710296;3983144;22292
