Linux 3.10.0-229.el7.x86_64 (pgxl2) 	08/21/2015 	_x86_64_	(4 CPU)

10:52:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:53:19 PM     all      2.07      0.00      1.16      0.86      0.05     95.86
10:54:19 PM     all      4.61      0.00      1.53      5.55      0.12     88.20
10:55:19 PM     all     10.03      0.00      1.57      4.24      0.10     84.05
10:56:19 PM     all     20.33      0.00      1.68      3.62      0.09     74.27
10:57:19 PM     all      7.96      0.00      1.68      7.38      0.11     82.88
10:58:19 PM     all     17.02      0.00      1.71      6.12      0.09     75.06
10:59:19 PM     all     34.24      0.00      2.12      7.56      0.08     56.00
11:00:19 PM     all     53.85      0.00      2.48      3.63      0.06     39.98
11:01:19 PM     all     31.87      0.00      1.74      4.05      0.08     62.27
11:02:19 PM     all      9.01      0.00      1.52      4.44      0.10     84.93
11:03:19 PM     all      5.32      0.00      1.46      3.59      0.12     89.51
11:04:19 PM     all      5.47      0.00      1.41      4.92      0.12     88.08
11:05:19 PM     all     12.63      0.00      2.22      3.93      0.12     81.11
11:06:19 PM     all     33.92      0.00      2.25      3.14      0.10     60.59
11:07:19 PM     all     26.00      0.00      1.99     19.27      0.10     52.64
11:08:19 PM     all     80.91      0.00      5.20      5.13      0.03      8.73
11:09:19 PM     all     25.34      0.00      3.33     22.81      0.10     48.43
11:10:19 PM     all     57.27      0.00      2.25      2.67      0.08     37.73
11:11:19 PM     all     55.06      0.00      1.43      2.61      0.08     40.82
11:12:19 PM     all     14.95      0.00      0.87      2.06      0.14     81.98
11:13:19 PM     all      5.40      0.00      0.79      1.86      0.15     91.80
11:14:19 PM     all      5.45      0.00      0.83      1.88      0.16     91.68
11:15:19 PM     all      5.46      0.00      0.79      2.52      0.16     91.08
11:16:19 PM     all      5.47      0.00      0.81      2.29      0.16     91.27
11:17:19 PM     all      5.51      0.00      0.81      1.28      0.15     92.25
11:18:19 PM     all      5.86      0.00      0.87      1.84      0.18     91.25
11:19:19 PM     all      5.65      0.00      0.96      1.78      0.16     91.45
11:20:19 PM     all      6.04      0.00      0.88      1.63      0.15     91.29
11:21:19 PM     all      5.86      0.00      0.85      2.02      0.16     91.11
11:22:19 PM     all      5.75      0.00      0.89      2.01      0.16     91.19
11:23:19 PM     all      5.79      0.00      0.84      2.23      0.16     90.98
11:24:19 PM     all     27.32      0.00      2.29      5.99      0.09     64.30
11:25:19 PM     all     25.10      0.00      1.29     36.75      0.04     36.81
11:26:19 PM     all     20.54      0.00      3.30     23.72      0.04     52.39
11:27:19 PM     all     59.99      0.00      9.69      7.41      0.02     22.89
11:28:19 PM     all     92.02      0.00      7.84      0.00      0.00      0.15
11:29:19 PM     all     50.10      0.00      4.49     32.20      0.04     13.17
11:30:19 PM     all      3.42      0.00      1.14     30.37      0.04     65.03
11:31:19 PM     all      0.81      0.00      1.10     22.96      0.04     75.09
11:32:19 PM     all      0.68      0.00      0.87     23.47      0.04     74.95
11:33:19 PM     all      1.20      0.00      1.19     24.04      0.04     73.53
11:34:19 PM     all      0.24      0.00      0.81     23.49      0.04     75.42
11:35:19 PM     all     21.54      0.00      1.17      2.30      0.00     74.98
