# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
pgxl3;60;1440211999;xvda;92.22;1526.02;16120.73;191.36;1.21;13.13;0.49;4.56
pgxl3;60;1440211999;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212059;xvda;314.63;0.27;77678.55;246.89;21.91;69.65;0.62;19.43
pgxl3;60;1440212059;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212119;xvda;325.83;0.00;79042.97;242.59;20.20;61.18;0.58;18.85
pgxl3;60;1440212119;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212179;xvda;325.63;26.13;76952.25;236.40;22.73;70.63;0.62;20.33
pgxl3;60;1440212179;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212239;xvda;395.73;0.00;91172.92;230.39;30.11;76.10;0.63;24.86
pgxl3;60;1440212239;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212299;xvda;412.62;0.00;95255.28;230.86;27.83;67.29;0.56;22.94
pgxl3;60;1440212299;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212359;xvda;441.88;0.00;99319.83;224.76;32.96;74.73;0.65;28.74
pgxl3;60;1440212359;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212419;xvda;388.48;0.00;90773.08;233.66;21.23;54.66;0.49;19.07
pgxl3;60;1440212419;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212479;xvda;393.28;18.40;90189.45;229.37;19.73;50.18;0.48;18.75
pgxl3;60;1440212479;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212539;xvda;423.92;0.00;94189.13;222.19;20.75;48.89;0.45;19.12
pgxl3;60;1440212539;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212599;xvda;405.05;0.00;84910.36;209.63;13.85;34.27;0.35;14.20
pgxl3;60;1440212599;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212659;xvda;431.87;0.00;95223.13;220.49;20.64;47.81;0.44;18.96
pgxl3;60;1440212659;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212719;xvda;370.85;0.00;89015.85;240.03;29.49;79.54;0.62;23.07
pgxl3;60;1440212719;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212779;xvda;372.45;53.60;91338.30;245.38;44.79;117.91;0.79;29.28
pgxl3;60;1440212779;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212839;xvda;478.05;31.88;115861.17;242.43;103.95;219.07;1.04;49.76
pgxl3;60;1440212839;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212899;xvda;505.57;0.28;120470.97;238.29;79.38;152.62;0.81;40.98
pgxl3;60;1440212899;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440212959;xvda;669.95;0.00;136363.17;203.54;165.88;246.36;1.08;72.48
pgxl3;60;1440212959;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213019;xvda;371.03;0.28;74096.77;199.70;23.46;71.73;0.47;17.40
pgxl3;60;1440213019;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213079;xvda;208.32;0.00;48372.03;232.20;9.97;47.85;0.49;10.17
pgxl3;60;1440213079;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213139;xvda;155.23;0.00;38748.78;249.62;6.89;44.38;0.49;7.54
pgxl3;60;1440213139;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213199;xvda;160.73;0.00;40200.53;250.11;8.29;51.55;0.53;8.50
pgxl3;60;1440213199;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213259;xvda;177.68;0.00;43920.50;247.18;7.98;44.91;0.47;8.30
pgxl3;60;1440213259;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213319;xvda;163.20;0.00;40520.70;248.29;8.72;53.44;0.53;8.66
pgxl3;60;1440213319;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213379;xvda;114.72;0.00;28449.00;247.99;3.45;30.06;0.45;5.11
pgxl3;60;1440213379;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213439;xvda;163.82;0.00;40588.05;247.77;8.94;54.58;0.53;8.72
pgxl3;60;1440213439;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213499;xvda;165.32;0.00;41457.07;250.77;8.90;53.85;0.54;8.84
pgxl3;60;1440213499;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213559;xvda;175.37;0.00;42895.42;244.60;7.92;45.14;0.48;8.39
pgxl3;60;1440213559;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213619;xvda;150.57;0.00;37207.47;247.12;5.42;36.02;0.44;6.57
pgxl3;60;1440213619;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213679;xvda;163.08;0.00;40391.37;247.67;8.75;53.67;0.53;8.62
pgxl3;60;1440213679;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213739;xvda;168.77;0.00;41954.77;248.60;7.88;46.71;0.48;8.07
pgxl3;60;1440213739;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl3;60;1440213799;xvda;162.17;0.00;40061.25;247.04;8.20;50.59;0.53;8.58
pgxl3;60;1440213799;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
