# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl4;60;1440211999;-3068.42;0.00;2912.30
pgxl4;60;1440212059;-4083.37;0.00;3920.40
pgxl4;60;1440212119;-5022.70;0.00;3969.20
pgxl4;60;1440212179;-5079.25;0.00;3574.07
pgxl4;60;1440212239;-1553.10;0.00;3518.85
pgxl4;60;1440212299;-3259.15;0.00;3108.70
pgxl4;60;1440212359;-4835.07;0.00;4715.78
pgxl4;60;1440212419;-10135.20;0.00;4522.02
pgxl4;60;1440212479;-3824.60;0.00;3011.63
pgxl4;60;1440212539;121.45;0.00;3007.20
pgxl4;60;1440212599;-3687.38;0.00;2971.03
pgxl4;60;1440212659;-3996.95;0.00;2913.12
pgxl4;60;1440212719;-9440.28;0.00;11355.80
pgxl4;60;1440212779;-4920.88;0.00;2676.57
pgxl4;60;1440212839;-6126.03;0.00;4126.28
pgxl4;60;1440212899;-17300.97;0.00;8645.03
pgxl4;60;1440212959;2635.57;0.00;5779.68
pgxl4;60;1440213019;-6286.15;0.00;2113.87
pgxl4;60;1440213079;1018.22;0.00;2228.03
pgxl4;60;1440213139;4797.13;0.00;2097.88
pgxl4;60;1440213199;-1999.17;0.00;2031.22
pgxl4;60;1440213259;-2102.55;0.00;2088.97
pgxl4;60;1440213319;-2051.28;0.00;2030.05
pgxl4;60;1440213379;-2064.53;0.00;2074.62
pgxl4;60;1440213439;-1938.54;0.00;2047.49
pgxl4;60;1440213499;-2229.32;0.00;2231.65
pgxl4;60;1440213559;-5569.67;0.00;2085.53
pgxl4;60;1440213619;-2038.73;0.00;2034.10
pgxl4;60;1440213679;-2157.20;0.00;2094.47
pgxl4;60;1440213739;-1892.65;0.00;2032.25
pgxl4;60;1440213799;-2156.83;0.00;2095.42
pgxl4;60;1440213859;-4961.38;0.00;1375.68
pgxl4;60;1440213919;5237.15;0.00;1702.82
pgxl4;60;1440213979;-16415.52;0.00;-757.60
pgxl4;60;1440214039;-75.52;0.00;-37342.09
pgxl4;60;1440214099;57.68;0.00;-32839.50
pgxl4;60;1440214159;31841.93;0.00;17610.02
pgxl4;60;1440214219;34233.17;0.00;4773.43
pgxl4;60;1440214279;-13937.03;0.00;13556.28
pgxl4;60;1440214339;-11296.63;0.00;11011.42
pgxl4;60;1440214399;-10382.48;0.00;10199.08
pgxl4;60;1440214459;-10895.58;0.00;10911.95
pgxl4;60;1440214519;-6431.00;0.00;2005.30
