# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl2;60;1440214669;6053080;24934740;80.47;0;24044568;9485396;30.61;20549524;3555916;59936
pgxl2;60;1440214729;214420;30773400;99.31;0;29432808;9932064;32.05;12810804;17103664;10444
pgxl2;60;1440214789;863656;30124164;97.21;0;28978848;9748812;31.46;11304548;17970000;119540
pgxl2;60;1440214849;743292;30244528;97.60;0;28983456;9862556;31.83;12076492;17316664;12
pgxl2;60;1440214909;628588;30359232;97.97;0;28983700;9977184;32.20;12839836;16666432;12
pgxl2;60;1440214969;513356;30474464;98.34;0;28985500;10089532;32.56;13600344;16020264;3912
pgxl2;60;1440215029;388676;30599144;98.75;0;28996552;10201996;32.92;14372612;15371644;1044
pgxl2;60;1440215089;263508;30724312;99.15;0;29007672;10315036;33.29;15148248;14720432;1416
pgxl2;60;1440215149;216476;30771344;99.30;0;28939712;10430364;33.66;15756180;14160000;0
pgxl2;60;1440215209;219320;30768500;99.29;0;28831168;10540572;34.02;15718076;14199584;12
pgxl2;60;1440215269;209660;30778160;99.32;0;28753004;10639524;34.33;15237892;14700456;12
pgxl2;60;1440215329;224192;30763628;99.28;0;28652388;10735360;34.64;14349752;15583616;0
pgxl2;60;1440215389;223784;30764036;99.28;0;28551816;10834748;34.96;13706764;16226192;12
pgxl2;60;1440215449;235800;30752020;99.24;0;28501776;10869268;35.08;12029624;17888324;380
pgxl2;60;1440215509;227288;30760532;99.27;0;28488920;10900516;35.18;11337972;18589836;12
pgxl2;60;1440215569;209412;30778408;99.32;0;27938756;11474524;37.03;11624968;18325136;115880
pgxl2;60;1440215629;1641184;29346636;94.70;0;28314836;9629088;31.07;10419316;18071992;16
pgxl2;60;1440215689;489788;30498032;98.42;0;29454288;9629088;31.07;11574624;18056524;12
pgxl2;60;1440215749;226824;30760996;99.27;0;29670584;9629360;31.07;11626312;18220996;0
pgxl2;60;1440215809;223192;30764628;99.28;0;29683084;9629224;31.07;11486528;18372872;2148
pgxl2;60;1440215869;225328;30762492;99.27;0;29619616;9694556;31.29;11335584;18526052;20
pgxl2;60;1440215930;222212;30765608;99.28;0;29433104;9815076;31.67;11186988;18506728;12
pgxl2;60;1440215990;226392;30761428;99.27;0;28831040;10295352;33.22;10815964;18760664;56548
pgxl2;60;1440216050;232380;30755440;99.25;0;28142336;10980368;35.43;11276712;18293488;294060
pgxl2;60;1440216110;230844;30756976;99.26;0;28144924;10980372;35.43;12025156;17547348;318360
pgxl2;60;1440216170;1788792;29199028;94.23;0;26634344;10965920;35.39;11420640;16628336;92
pgxl2;60;1440216230;1400312;29587508;95.48;0;27692540;10193544;32.90;13552360;14785668;12
pgxl2;60;1440216290;226780;30761040;99.27;0;28876536;10196500;32.90;12827160;16695392;110432
pgxl2;60;1440216350;215872;30771948;99.30;0;28890412;10196496;32.90;12592776;16943716;106980
pgxl2;60;1440216409;1468980;29518840;95.26;0;27636012;10196500;32.90;16763076;11519360;1152
pgxl2;60;1440216470;1948276;29039544;93.71;0;27161728;10196508;32.90;16911128;10896672;172
pgxl2;60;1440216530;1345788;29642032;95.66;0;27388752;10573204;34.12;17294308;11114408;31720
pgxl2;60;1440216590;2312860;28674960;92.54;0;27254248;9973960;32.19;18946884;8827028;16
pgxl2;60;1440216650;1937928;29049892;93.75;0;27587376;10017324;32.33;19462004;8686340;292756
pgxl2;60;1440216710;459580;30528240;98.52;0;29108788;9974008;32.19;19465904;10159936;12
pgxl2;60;1440216770;239036;30748784;99.23;0;29337188;9974008;32.19;19118124;10738260;73760
pgxl2;60;1440216830;979296;30008524;96.84;0;28636832;9990064;32.24;17856168;11310856;32
pgxl2;60;1440216890;1053008;29934812;96.60;0;28699056;9959808;32.14;22699480;6518252;12
pgxl2;60;1440216950;239564;30748256;99.23;0;29512976;9959804;32.14;23274108;6757516;529832
pgxl2;60;1440217010;1828452;29159368;94.10;0;27746596;10150988;32.76;20378840;8069240;20
pgxl2;60;1440217070;1168192;29819628;96.23;0;28588416;9959476;32.14;20506300;8600428;20
pgxl2;60;1440217130;220324;30767496;99.29;0;29531460;9959476;32.14;23461252;6590864;518124
