Linux 3.10.0-229.el7.x86_64 (pgxl6) 	08/21/2015 	_x86_64_	(4 CPU)

11:36:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:37:50 PM     all      1.22      0.00      1.14      9.58      0.05     88.02
11:38:50 PM     all      3.41      0.00      2.65     14.18      0.05     79.72
11:39:50 PM     all     28.52      0.00      5.27      8.06      0.71     57.44
11:40:50 PM     all     30.35      0.00     12.74      1.71      2.64     52.56
11:41:50 PM     all     30.20      0.00     12.44      0.00      2.66     54.69
11:42:50 PM     all     30.26      0.00     12.51      0.01      2.71     54.51
11:43:50 PM     all     30.26      0.00     12.67      0.01      2.68     54.38
11:44:50 PM     all     30.05      0.00     12.58      0.02      2.72     54.63
11:45:50 PM     all     30.17      0.00     12.49      0.01      2.69     54.65
11:46:50 PM     all     29.15      0.00     12.10      0.65      2.64     55.46
11:47:50 PM     all     25.18      0.00     10.60      3.33      2.29     58.59
11:48:50 PM     all     24.07      0.00     10.27      4.15      2.19     59.32
11:49:50 PM     all     24.63      0.00     10.04      3.77      2.27     59.30
11:50:50 PM     all      7.33      0.00      3.23     18.16      0.73     70.56
11:51:50 PM     all      0.96      0.00      0.28     23.68      0.10     74.99
11:52:50 PM     all     21.99      0.00      1.44      8.38      0.13     68.06
11:53:50 PM     all     30.71      0.00      2.50      3.58      0.19     63.02
11:54:50 PM     all     36.99      0.00      4.28      6.57      0.37     51.79
11:55:50 PM     all     39.55      0.00      4.74      4.01      0.34     51.37
11:56:50 PM     all     41.86      0.00      4.96      2.42      0.33     50.44
11:57:50 PM     all     21.59      0.00      2.84      5.50      0.24     69.84
11:58:50 PM     all     26.17      0.00      8.24      8.04      0.17     57.38
11:59:50 PM     all     15.13      0.00      5.01     13.53      0.09     66.25
12:00:50 AM     all     22.18      0.00      1.11      2.53      0.00     74.18
12:01:50 AM     all     19.32      0.00      0.98      5.49      0.02     74.19
12:02:50 AM     all     12.71      0.00      2.69      7.55      0.01     77.03
12:03:50 AM     all      5.98      0.00      3.50     28.87      0.48     61.17
12:04:50 AM     all      5.04      0.00      1.58     17.78      0.05     75.55
12:05:50 AM     all      4.02      0.00      1.75     18.56      0.06     75.61
12:06:50 AM     all      8.44      0.00      2.72     13.42      0.03     75.38
12:07:50 AM     all      4.82      0.00      0.90      1.72      0.01     92.55
12:08:50 AM     all     11.40      0.00      1.21      0.10      0.06     87.23
12:09:50 AM     all     21.94      0.00      1.58      1.23      0.02     75.24
12:10:50 AM     all     11.99      0.00      1.90      2.03      0.06     84.02
12:11:50 AM     all      4.29      0.00      1.07     13.51      0.05     81.08
12:12:50 AM     all      5.84      0.00      0.48      1.52      0.00     92.15
12:13:50 AM     all     10.14      0.00      3.81      9.98      0.03     76.05
12:14:50 AM     all     22.48      0.00      2.54      0.20      0.03     74.75
12:15:50 AM     all     23.33      0.00      0.71      0.94      0.00     75.02
12:16:50 AM     all      6.50      0.00      3.34     11.91      0.02     78.23
12:17:50 AM     all      3.21      0.00      0.67     14.95      0.19     80.98
12:18:50 AM     all     18.65      0.00      3.11      1.14      0.01     77.09
