ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,205,0,220,9042,87107,2571,0,0,0
946684800,5,3412,5,44157089,66232064,1825844493,174179205,122396085,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,207,0,231,9106,88109,2582,0,0,0
946684800,81,3584,5,45443531,66236440,1837245706,185565405,122396085,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,209,0,231,9181,89111,2593,0,0,0
946684800,77,3705,5,45461095,67000303,1837589706,185580117,122396085,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,211,0,231,9256,90113,2604,0,0,0
946684800,80,3721,5,45461096,67002674,1837594503,185581436,122396085,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,213,0,237,9325,91115,2615,0,0,0
946684800,80,3766,5,45758177,67276346,1841068261,186547035,122396085,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,215,0,237,9400,92117,2626,0,0,0
946684800,78,3810,5,46022281,67280806,1851486405,186948470,122396085,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,217,0,243,9469,93119,2637,0,0,0
946684800,80,3853,5,48837978,79439572,1977779596,237410119,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,219,0,243,9544,94121,2648,0,0,0
946684800,79,3868,5,48837978,79442200,1977784931,237411613,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,221,0,243,9619,95123,2659,0,0,0
946684800,80,3884,5,48837981,79445104,1977790816,237413293,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,223,0,243,9694,96125,2670,0,0,0
946684800,80,3907,5,48837990,79447815,1977796199,237414831,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,225,0,243,9769,97127,2681,0,0,0
946684800,79,3977,5,50866555,82871843,2091718604,242569555,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,227,0,243,9844,98129,2692,0,0,0
946684800,78,4003,5,50866558,82875196,2091724660,242571385,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,229,0,243,9919,99131,2703,0,0,0
946684800,78,4019,5,50866558,82877568,2091729457,242572704,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,231,0,243,9994,100133,2714,0,0,0
946684800,22,4092,5,50866558,82880675,2091735446,242574488,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,233,0,243,10069,101135,2725,0,0,0
946684800,21,4105,5,50866558,82882824,2091740127,242575692,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,235,0,243,10144,102137,2736,0,0,0
946684800,23,4136,5,53004889,84084537,2275519374,242577405,122396086,56,95209
946684800,0,0,0,0,0,0,0,0,0,0
