ctime,relname,pid,mode,granted
946684800,pg_index,20243,AccessShareLock,t
946684800,pg_index,20241,AccessShareLock,t
946684800,pg_index_indexrelid_index,20241,AccessShareLock,t
946684800,pg_index_indexrelid_index,20243,AccessShareLock,t
946684800,pg_index_indrelid_index,20241,AccessShareLock,t
946684800,pg_index_indrelid_index,20243,AccessShareLock,t
946684800,pg_locks,20239,AccessShareLock,t
946684800,pg_namespace,20243,AccessShareLock,t
946684800,pg_namespace,20241,AccessShareLock,t
946684800,pg_namespace_nspname_index,20243,AccessShareLock,t
946684800,pg_namespace_nspname_index,20241,AccessShareLock,t
946684800,pg_namespace_oid_index,20241,AccessShareLock,t
946684800,pg_namespace_oid_index,20243,AccessShareLock,t
946684800,pg_stat_all_indexes,20243,AccessShareLock,t
946684800,pg_stat_all_tables,20241,AccessShareLock,t
946684800,pg_stat_database,20240,AccessShareLock,t
946684800,pg_statio_all_indexes,20243,AccessShareLock,t
946684800,pg_statio_all_tables,20241,AccessShareLock,t
946684800,time_statistics,20237,RowExclusiveLock,t
946684800,lineitem,20272,AccessShareLock,t
946684800,lineitem,20237,AccessShareLock,t
946684800,lineitem,20270,AccessShareLock,t
946684800,lineitem,20271,AccessShareLock,t
946684800,lineitem,20269,RowExclusiveLock,t
946684800,lineitem,20262,AccessShareLock,t
946684800,lineitem,20273,AccessShareLock,t
946684800,lineitem,20341,AccessShareLock,t
946684800,lineitem,20340,AccessShareLock,t
946684800,lineitem,20339,AccessShareLock,t
946684800,lineitem,20338,AccessShareLock,t
946684800,lineitem,20337,AccessShareLock,t
946684800,lineitem,20336,AccessShareLock,t
946684800,lineitem,20335,AccessShareLock,t
946684800,lineitem,20334,AccessShareLock,t
946684800,lineitem,20333,AccessShareLock,t
946684800,lineitem,20332,AccessShareLock,t
946684800,lineitem,20331,AccessShareLock,t
946684800,lineitem,20330,AccessShareLock,t
946684800,lineitem,20329,AccessShareLock,t
946684800,lineitem,20328,AccessShareLock,t
946684800,lineitem,20327,AccessShareLock,t
946684800,lineitem,20326,AccessShareLock,t
946684800,lineitem,20325,AccessShareLock,t
946684800,lineitem,20324,AccessShareLock,t
946684800,lineitem,20323,AccessShareLock,t
946684800,lineitem,20322,AccessShareLock,t
946684800,lineitem,20321,AccessShareLock,t
946684800,lineitem,20320,AccessShareLock,t
946684800,lineitem,20319,AccessShareLock,t
946684800,lineitem,20318,AccessShareLock,t
946684800,lineitem,20317,AccessShareLock,t
946684800,lineitem,20316,AccessShareLock,t
946684800,lineitem,20315,AccessShareLock,t
946684800,lineitem,20314,AccessShareLock,t
946684800,lineitem,20313,AccessShareLock,t
946684800,lineitem,20312,AccessShareLock,t
946684800,lineitem,20311,AccessShareLock,t
946684800,lineitem,20310,AccessShareLock,t
946684800,lineitem,20309,AccessShareLock,t
946684800,lineitem,20308,AccessShareLock,t
946684800,lineitem,20307,AccessShareLock,t
946684800,lineitem,20306,AccessShareLock,t
946684800,lineitem,20305,AccessShareLock,t
946684800,lineitem,20304,AccessShareLock,t
946684800,lineitem,20303,AccessShareLock,t
946684800,lineitem,20302,AccessShareLock,t
946684800,lineitem,20301,AccessShareLock,t
946684800,lineitem,20300,AccessShareLock,t
946684800,lineitem,20299,AccessShareLock,t
946684800,lineitem,20298,AccessShareLock,t
946684800,lineitem,20297,AccessShareLock,t
946684800,lineitem,20296,AccessShareLock,t
946684800,lineitem,20295,AccessShareLock,t
946684800,lineitem,20294,AccessShareLock,t
946684800,lineitem,20293,AccessShareLock,t
946684800,lineitem,20292,AccessShareLock,t
946684800,lineitem,20291,AccessShareLock,t
946684800,lineitem,20290,AccessShareLock,t
946684800,lineitem,20289,AccessShareLock,t
946684800,lineitem,20288,AccessShareLock,t
946684800,lineitem,20287,AccessShareLock,t
946684800,lineitem,20286,AccessShareLock,t
946684800,lineitem,20285,AccessShareLock,t
946684800,lineitem,20284,AccessShareLock,t
946684800,lineitem,20283,AccessShareLock,t
946684800,lineitem,20282,AccessShareLock,t
946684800,lineitem,20281,AccessShareLock,t
946684800,lineitem,20280,AccessShareLock,t
946684800,lineitem,20279,AccessShareLock,t
946684800,lineitem,20278,AccessShareLock,t
946684800,lineitem,20277,AccessShareLock,t
946684800,lineitem,20276,AccessShareLock,t
946684800,lineitem,20274,AccessShareLock,t
946684800,lineitem,20275,AccessShareLock,t
946684800,lineitem_l_orderkey_idx,20269,RowExclusiveLock,t
946684800,lineitem_l_orderkey_idx_l_returnflag,20269,RowExclusiveLock,t
