# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl1;60;1440217255;-40657.97;0.00;37616.97
pgxl1;60;1440217315;9.83;0.00;-2023.38
pgxl1;60;1440217375;3.70;0.00;-161.67
pgxl1;60;1440217435;-37.73;0.00;-255.45
pgxl1;60;1440217495;155.60;0.00;660.63
pgxl1;60;1440217555;-162.08;0.00;-872.03
pgxl1;60;1440217615;54.28;0.00;-1035.40
pgxl1;60;1440217675;2375.65;0.00;-3199.65
pgxl1;60;1440217735;-204.02;0.00;184.10
pgxl1;60;1440217795;-2202.60;0.00;268.67
pgxl1;60;1440217855;20.37;0.00;-488.33
pgxl1;60;1440217915;1470.35;0.00;-1842.02
pgxl1;60;1440217975;6939.98;0.00;-5088.52
pgxl1;60;1440218035;-470.78;0.00;0.12
pgxl1;60;1440218095;8048.12;0.00;-5170.98
pgxl1;60;1440218155;-3288.28;0.00;2807.38
pgxl1;60;1440218215;-7484.38;0.00;6545.80
pgxl1;60;1440218275;-5228.18;0.00;4755.38
pgxl1;60;1440218335;-14.32;0.00;-325.68
pgxl1;60;1440218395;65.00;0.00;-929.77
pgxl1;60;1440218455;-107.33;0.00;-415.48
pgxl1;60;1440218515;3.97;0.00;-92.65
pgxl1;60;1440218575;37.78;0.00;-2378.09
pgxl1;60;1440218635;13.82;0.00;-16.70
pgxl1;60;1440218695;1076.75;0.00;4608.87
pgxl1;60;1440218755;-448.75;0.00;1853.75
pgxl1;60;1440218815;-586.60;0.00;-170.48
pgxl1;60;1440218875;-61.68;0.00;-647.35
pgxl1;60;1440218935;44.23;0.00;-745.67
pgxl1;60;1440218995;43.83;0.00;544.35
pgxl1;60;1440219055;-103.10;0.00;139.37
pgxl1;60;1440219115;72.13;0.00;-79.10
pgxl1;60;1440219175;-8.97;0.00;-684.58
pgxl1;60;1440219235;-52.75;0.00;56.30
pgxl1;60;1440219295;-7.08;0.00;-1003.98
pgxl1;60;1440219355;38.73;0.00;858.80
pgxl1;60;1440219415;3678.08;0.00;-2963.58
pgxl1;60;1440219475;426.03;0.00;2285.35
pgxl1;60;1440219535;-2685.18;0.00;1092.32
pgxl1;60;1440219595;1979.13;0.00;-1273.87
pgxl1;60;1440219655;1648.15;0.00;-4045.73
pgxl1;60;1440219715;-5062.70;0.00;3630.08
pgxl1;60;1440219775;-20.67;0.00;487.47
pgxl1;60;1440219835;74.70;0.00;-75.32
pgxl1;60;1440219895;-37.33;0.00;49.80
pgxl1;60;1440219955;-37.87;0.00;-49.38
pgxl1;60;1440220015;5089.32;0.00;-4889.38
pgxl1;60;1440220075;6846.80;0.00;-4525.48
pgxl1;60;1440220135;-403.20;0.00;17.58
pgxl1;60;1440220195;-4289.62;0.00;3897.78
pgxl1;60;1440220255;-6880.13;0.00;6498.55
pgxl1;60;1440220315;2243.80;0.00;-3261.30
pgxl1;60;1440220375;-2409.50;0.00;1838.95
pgxl1;60;1440220435;-153.15;0.00;-340.68
pgxl1;60;1440220495;-72.58;0.00;-425.37
pgxl1;60;1440220555;68.37;0.00;-571.68
pgxl1;60;1440220615;4.00;0.00;-494.58
pgxl1;60;1440220675;26.50;0.00;-469.75
pgxl1;60;1440220735;-23.13;0.00;-751.17
pgxl1;60;1440220795;5866.30;0.00;251.22
pgxl1;60;1440220855;-3394.67;0.00;3397.35
pgxl1;60;1440220915;-2528.02;0.00;2370.33
pgxl1;60;1440220975;1299.13;0.00;-1221.53
pgxl1;60;1440221035;-1254.85;0.00;1249.32
pgxl1;60;1440221095;-52.67;0.00;-33.25
pgxl1;60;1440221155;11157.55;0.00;-11112.38
pgxl1;60;1440221215;42884.38;0.00;-36622.40
