# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl2;60;1440217255;210352;30777468;99.32;0;29540376;10019100;32.33;13465928;16525684;294064
pgxl2;60;1440217315;219164;30768656;99.29;0;28970984;10139728;32.72;12919756;16622188;31712
pgxl2;60;1440217375;234000;30753820;99.24;0;28914808;10170688;32.82;11809004;17709764;13796
pgxl2;60;1440217435;239668;30748152;99.23;0;28812764;10270920;33.15;11083980;18416768;12856
pgxl2;60;1440217495;215472;30772348;99.30;0;29016936;10033336;32.38;12602020;16883552;3220
pgxl2;60;1440217555;208876;30778944;99.33;0;28689688;10368924;33.46;10804228;18675572;459352
pgxl2;60;1440217615;308320;30679500;99.01;0;28425524;10533244;33.99;11381428;18000624;13160
pgxl2;60;1440217675;234888;30752932;99.24;0;28423528;10621720;34.28;11613660;17841152;2016
pgxl2;60;1440217735;641476;30346344;97.93;0;27901180;10740808;34.66;12652532;16404120;12
pgxl2;60;1440217795;216920;30770900;99.30;0;27867732;11186636;36.10;12158652;17326212;382764
pgxl2;60;1440217855;233468;30754352;99.25;0;27734964;11293920;36.45;13002368;16458372;270680
pgxl2;60;1440217915;224864;30762956;99.27;0;27634820;11402436;36.80;14085904;15382932;54772
pgxl2;60;1440217975;222548;30765272;99.28;0;28100004;11309192;36.50;13789136;16151656;1347696
pgxl2;60;1440218035;1648884;29338936;94.68;0;26563988;11421532;36.86;13426748;15090460;12
pgxl2;60;1440218095;3570980;27416840;88.48;0;25331072;10732648;34.64;14134684;12463368;12
pgxl2;60;1440218155;2917276;28070544;90.59;0;25868860;10861344;35.05;14970164;12279400;12
pgxl2;60;1440218215;896424;30091396;97.11;0;27663292;10968884;35.40;16392116;12759856;1124
pgxl2;60;1440218275;333888;30653932;98.92;0;28128456;11062780;35.70;17833532;11877476;92
pgxl2;60;1440218335;229820;30758000;99.26;0;28141188;11144288;35.96;17270276;12533784;15196
pgxl2;60;1440218395;225596;30762224;99.27;0;27938932;11267428;36.36;14373980;15336572;12232
pgxl2;60;1440218455;211748;30776072;99.32;0;27826628;11356408;36.65;14120256;15567992;1120
pgxl2;60;1440218515;230500;30757320;99.26;0;27778140;11391104;36.76;12575308;17097324;12
pgxl2;60;1440218575;225952;30761868;99.27;0;27246436;11962196;38.60;12551068;17155164;129560
pgxl2;60;1440218635;231084;30756736;99.25;0;27242800;11966400;38.62;12386096;17323072;20
pgxl2;60;1440218695;355580;30632240;98.85;0;28494944;10574300;34.12;12677460;16901648;378428
pgxl2;60;1440218755;318628;30669192;98.97;0;28875996;10213456;32.96;12520772;17072664;240
pgxl2;60;1440218815;226896;30760924;99.27;0;28798444;10385260;33.51;12074860;17536000;16
pgxl2;60;1440218875;222512;30765308;99.28;0;28505660;10401388;33.57;11412692;17914148;262128
pgxl2;60;1440218935;213676;30774144;99.31;0;28341612;10589380;34.17;13486748;15847324;1988
pgxl2;60;1440218995;231856;30755964;99.25;0;28492192;10358660;33.43;12022464;17266164;6176
pgxl2;60;1440219055;373648;30614172;98.79;0;28354392;10367236;33.46;12594376;16566620;3868
pgxl2;60;1440219115;231784;30756036;99.25;0;28497680;10369952;33.46;12942188;16365172;3912
pgxl2;60;1440219175;232452;30755368;99.25;0;28329180;10538668;34.01;14618352;14690620;0
pgxl2;60;1440219235;221992;30765828;99.28;0;28344956;10538664;34.01;13604424;15720116;1604
pgxl2;60;1440219295;212240;30775580;99.32;0;28352544;10563596;34.09;13868804;15469560;133580
pgxl2;60;1440219355;220668;30767152;99.29;0;28349932;10563288;34.09;15148712;14182120;1948
pgxl2;60;1440219415;1086672;29901148;96.49;0;27651792;10376856;33.49;15262480;13203344;4372
pgxl2;60;1440219475;1099548;29888272;96.45;0;28372656;10219812;32.98;21784588;7322192;90536
pgxl2;60;1440219535;543436;30444384;98.25;0;28551928;10573764;34.12;24488156;5177852;308176
pgxl2;60;1440219595;231268;30756552;99.25;0;29085800;10362708;33.44;20236904;9739148;70072
pgxl2;60;1440219655;1322020;29665800;95.73;0;27367408;11000880;35.50;22046404;6848272;152480
pgxl2;60;1440219715;212252;30775568;99.32;0;28132644;11331656;36.57;21198408;8805348;262168
pgxl2;60;1440219775;220216;30767604;99.29;0;28235836;11212264;36.18;19582024;10406880;132924
pgxl2;60;1440219835;227936;30759884;99.26;0;28225456;11214296;36.19;19615904;10364316;227504
pgxl2;60;1440219895;212940;30774880;99.31;0;28244100;11216600;36.20;20009360;9992460;340
pgxl2;60;1440219955;214696;30773124;99.31;0;28227156;11240236;36.27;19611336;10392916;637668
pgxl2;60;1440220015;1332964;29654856;95.70;0;27148512;11198692;36.14;19294292;9595244;12
pgxl2;60;1440220075;2975680;28012140;90.40;0;26057684;10650408;34.37;18919872;8333260;12
pgxl2;60;1440220135;2881060;28106760;90.70;0;26059996;10741604;34.66;19625600;7720952;12
pgxl2;60;1440220195;1843704;29144116;94.05;0;27001452;10839220;34.98;19734148;8649192;12
pgxl2;60;1440220255;1470536;29517284;95.25;0;27283900;10929876;35.27;20987608;7768964;32
pgxl2;60;1440220315;905020;30082800;97.08;0;27605104;11083288;35.77;21428744;7774332;12
pgxl2;60;1440220375;321632;30666188;98.96;0;28048752;11194788;36.13;21873040;7885696;12
pgxl2;60;1440220435;228592;30759228;99.26;0;28021268;11311040;36.50;21410116;8437732;12
pgxl2;60;1440220495;231060;30756760;99.25;0;27902356;11426620;36.87;20975144;8868492;12
pgxl2;60;1440220555;215092;30772728;99.31;0;27798948;11542668;37.25;20881864;8975824;1940
pgxl2;60;1440220615;226952;30760868;99.27;0;27671184;11657672;37.62;20840724;9003748;1732
pgxl2;60;1440220675;225492;30762328;99.27;0;27566680;11763828;37.96;20075440;9772352;16
pgxl2;60;1440220735;229164;30758656;99.26;0;27378608;11956092;38.58;18560172;11287552;32868
pgxl2;60;1440220795;1651088;29336732;94.67;0;27424548;10488092;33.85;17397372;11031320;404
pgxl2;60;1440220855;911116;30076704;97.06;0;28164512;10488088;33.85;18138140;11030488;224
pgxl2;60;1440220915;213524;30774296;99.31;0;28821816;10529956;33.98;19619916;10245792;249756
pgxl2;60;1440220975;220472;30767348;99.29;0;28832012;10515496;33.93;22780096;7080704;16
pgxl2;60;1440221035;231916;30755904;99.25;0;28815600;10510552;33.92;20342708;9499368;894480
pgxl2;60;1440221095;230000;30757820;99.26;0;28790524;10510496;33.92;18972200;10844668;73028
pgxl2;60;1440221155;1601156;29386664;94.83;0;27440708;10510476;33.92;19163396;9304372;44
pgxl2;60;1440221215;12734264;18253556;58.91;0;17803272;260504;0.84;12426540;5430924;48
