# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl8;60;1440217255;eth0;5317.85;5307.77;7591.00;7657.02;0.00;0.00;0.00
pgxl8;60;1440217255;lo;680.65;680.65;1083.40;1083.40;0.00;0.00;0.00
pgxl8;60;1440217315;eth0;12915.35;12781.50;18096.85;18273.96;0.00;0.00;0.00
pgxl8;60;1440217315;lo;1605.32;1605.32;2578.87;2578.87;0.00;0.00;0.00
pgxl8;60;1440217375;eth0;114.97;113.25;415.79;420.59;0.00;0.00;0.00
pgxl8;60;1440217375;lo;24.95;24.95;60.94;60.94;0.00;0.00;0.00
pgxl8;60;1440217435;eth0;31.73;30.98;97.85;99.72;0.00;0.00;0.00
pgxl8;60;1440217435;lo;14.98;14.98;16.07;16.07;0.00;0.00;0.00
pgxl8;60;1440217495;eth0;1177.23;1299.00;134.96;1646.46;0.00;0.00;0.00
pgxl8;60;1440217495;lo;166.10;166.10;20.15;20.15;0.00;0.00;0.00
pgxl8;60;1440217555;eth0;333.38;332.62;40.10;61.13;0.00;0.00;0.00
pgxl8;60;1440217555;lo;53.48;53.48;7.02;7.02;0.00;0.00;0.00
pgxl8;60;1440217615;eth0;1.75;1.50;0.17;0.84;0.00;0.00;0.00
pgxl8;60;1440217615;lo;8.65;8.65;1.56;1.56;0.00;0.00;0.00
pgxl8;60;1440217675;eth0;1.80;1.72;0.15;3.23;0.00;0.00;0.00
pgxl8;60;1440217675;lo;7.93;7.93;1.45;1.45;0.00;0.00;0.00
pgxl8;60;1440217735;eth0;1.62;1.37;0.14;0.78;0.00;0.00;0.00
pgxl8;60;1440217735;lo;3.68;3.68;0.90;0.90;0.00;0.00;0.00
pgxl8;60;1440217795;eth0;347.32;604.42;1848.05;4053.51;0.00;0.00;0.00
pgxl8;60;1440217795;lo;50.55;50.55;268.27;268.27;0.00;0.00;0.00
pgxl8;60;1440217855;eth0;1090.45;1109.82;6816.69;6850.70;0.00;0.00;0.00
pgxl8;60;1440217855;lo;160.27;160.27;984.47;984.47;0.00;0.00;0.00
